dateReferentiel;route;longueur;prD;depPrD;concessionPrD;absD;cumulD;xD;yD;zD;prF;depPrF;concessionPrF;absF;cumulF;xF;yF;zF;cote;anneeMesureTrafic;typeComptageTrafic;typeComptageTrafic_lib;TMJA;ratio_PL
01/01/2024;A0001;1499;19;95;C;0;18875;665481,08;6878892,47;0;20;95;C;499;20374;665966,61;6880317,6;0;I;2024;1;Permanent horaire;96596;17,192
01/01/2024;A0001;242;20;95;C;499;20374;665966,61;6880317,6;0;20;95;C;741;20616;666035,68;6880520,91;0;I;2024;1;Permanent horaire;96596;17,192
01/01/2024;A0001;7132;20;95;C;741;20616;666035,68;6880520,91;0;27;95;C;873;27748;667208,81;6887489,88;0;I;2024;1;Permanent horaire;96596;17,192
01/01/2024;A0001;2777;27;95;C;873;27748;667208,81;6887489,88;0;30;95;C;650;30525;667345,96;6890249,01;0;I;2024;1;Permanent horaire;85779;17,689
01/01/2024;A0001;1610;30;95;C;650;30525;667345,96;6890249,01;0;32;60;C;260;32135;667686,69;6891809,56;0;I;2024;1;Permanent horaire;85779;17,689
01/01/2024;A0001;10166;32;60;C;260;32135;667686,69;6891809,56;0;42;60;C;426;42301;671659,72;6900724,84;0;I;2024;1;Permanent horaire;81372;18,486
01/01/2024;A0001;1694;42;60;C;426;42301;671659,72;6900724,84;0;44;60;C;120;43995;672895,5;6901827,49;0;I;2024;1;Permanent horaire;58516;22,891
01/01/2024;A0001;13620;44;60;C;120;43995;672895,5;6901827,49;0;57;60;C;740;57615;677269,45;6913464,74;0;I;2024;1;Permanent horaire;64778;23,307
01/01/2024;A0001;8733;57;60;C;740;57615;677269,45;6913464,74;0;66;60;C;473;66348;678030,74;6921986,21;0;I;2024;1;Permanent horaire;58310;24,772
01/01/2024;A0001;14075;66;60;C;473;66348;678030,74;6921986,21;0;80;60;C;548;80423;679800,71;6935809,84;0;I;2024;1;Permanent horaire;54193;25,904
01/01/2024;A0001;11468;80;60;C;548;80423;679800,71;6935809,84;0;92;60;C;16;91891;682330,82;6946951,22;0;I;2024;1;Permanent horaire;54595;25,623
01/01/2024;A0001;9286;92;60;C;16;91891;682330,82;6946951,22;0;101;80;C;302;101177;683521,06;6956095,56;0;I;2024;1;Permanent horaire;54595;25,623
01/01/2024;A0001;17216;101;80;C;302;101177;683521,06;6956095,56;0;118;80;C;518;118393;687952,39;6972647,1;0;I;2024;1;Permanent horaire;52218;26,179
01/01/2024;A0001;2964;118;80;C;518;118393;687952,39;6972647,1;0;121;80;C;482;121357;688279,33;6975583,73;0;I;2024;1;Permanent horaire;65821;24,512
01/01/2024;A0001;10318;121;80;C;482;121357;688279,33;6975583,73;0;131;80;C;800;131675;690044,79;6985631,47;0;I;2024;1;Permanent horaire;66260;25,056
01/01/2024;A0001;4966;131;80;C;800;131675;690044,79;6985631,47;0;136;80;C;766;136641;691298,91;6990414,29;0;I;2024;1;Permanent horaire;67047;24,88
01/01/2024;A0001;2220;136;80;C;766;136641;691298,91;6990414,29;0;138;80;C;986;138861;691699,49;6992566,8;0;I;2024;1;Permanent horaire;43746;25,846
01/01/2024;A0001;7891;138;80;C;986;138861;691699,49;6992566,8;0;146;62;C;877;146752;690810,7;7000344,35;0;I;2024;1;Permanent horaire;43746;25,846
01/01/2024;A0001;19107;146;62;C;877;146752;690810,7;7000344,35;0;165;62;C;984;165859;690643,39;7019124,53;0;I;2024;1;Permanent horaire;45137;25,783
01/01/2024;A0001;4322;165;62;C;984;165859;690643,39;7019124,53;0;170;62;C;306;170181;692272,53;7023133,97;0;I;2024;1;Permanent horaire;46905;25,932
01/01/2024;A0001;3760;170;62;C;306;170181;692272,53;7023133,97;0;174;62;C;66;173941;694414,51;7026218,92;0;I;2024;1;Permanent horaire;48337;25,764
01/01/2024;A0001;11959;174;62;C;66;173941;694414,51;7026218,92;0;186;62;C;25;185900;698769,14;7036692,02;0;I;2024;1;Permanent horaire;72117;19,165
01/01/2024;A0002;3533;0;80;C;0;0;691468,61;6990871,19;0;3;80;C;533;3533;693364,38;6993151,71;0;I;2024;1;Permanent horaire;23300;23,067
01/01/2024;A0002;1122;3;80;C;533;3533;693364,38;6993151,71;0;4;62;C;655;4655;694362,34;6993793,3;0;I;2024;1;Permanent horaire;23300;23,067
01/01/2024;A0002;382;4;62;C;655;4655;694362,34;6993793,3;0;5;80;C;37;5037;694668,41;6994008,78;0;I;2024;1;Permanent horaire;23300;23,067
01/01/2024;A0002;18563;5;80;C;37;5037;694668,41;6994008,78;0;23;62;C;600;23600;709095,71;7005131,22;0;I;2024;1;Permanent horaire;23300;23,067
01/01/2024;A0002;39;23;62;C;600;23600;709095,71;7005131,22;0;23;62;C;639;23639;709121,53;7005156,45;0;I;2024;1;Permanent horaire;30474;21,967
01/01/2024;A0002;5675;23;62;C;639;23639;709121,53;7005156,45;0;29;59;C;314;29314;713261,61;7008865,51;0;I;2024;1;Permanent horaire;30474;21,967
01/01/2024;A0002;13367;29;59;C;314;29314;713261,61;7008865,51;0;43;59;N;0;42681;723006,21;7017397,47;0;I;2024;1;Permanent horaire;31039;22,309
01/01/2024;A0004;1742;13;93;C;858;13964;667951,08;6859600,37;0;15;93;C;600;15706;669668,52;6859438,86;0;I;2024;1;Permanent horaire;171937;4,24
01/01/2024;A0004;2435;15;93;C;600;15706;669668,52;6859438,86;0;18;77;C;35;18141;672034,38;6858928,49;0;I;2024;1;Permanent horaire;171937;4,24
01/01/2024;A0004;15965;18;77;C;35;18141;672034,38;6858928,49;0;34;77;C;0;34106;687532,12;6860650,75;0;I;2024;1;Permanent horaire;174771;7,674
01/01/2024;A0004;1948;34;77;C;0;34106;687532,12;6860650,75;0;35;77;C;948;36054;688593,38;6862282,99;0;I;2024;1;Permanent horaire;38790;7,798
01/01/2024;A0004;13424;40;77;C;750;40856;692374,65;6865138,55;0;54;77;C;174;54280;703123,41;6872380,56;0;I;2024;1;Permanent horaire;30765;10,109
01/01/2024;A0004;10605;54;77;C;174;54280;703123,41;6872380,56;0;64;77;C;779;64885;710998,52;6879162,46;0;I;2024;1;Permanent horaire;23868;11,394
01/01/2024;A0004;2996;64;77;C;779;64885;710998,52;6879162,46;0;67;77;C;775;67881;712935,31;6881400,97;0;I;2024;1;Permanent horaire;21897;12,035
01/01/2024;A0004;17935;67;77;C;775;67881;712935,31;6881400,97;0;85;2;C;710;85816;729306,72;6886795,58;0;I;2024;1;Permanent horaire;21897;12,035
01/01/2024;A0004;16730;85;2;C;710;85816;729306,72;6886795,58;0;102;2;C;440;102546;744513,26;6892913,47;0;I;2024;1;Permanent horaire;21942;11,52
01/01/2024;A0004;6660;102;2;C;440;102546;744513,26;6892913,47;0;109;51;C;100;109206;750798,74;6894780,16;0;I;2024;1;Permanent horaire;21942;11,52
01/01/2024;A0004;1805;109;51;C;100;109206;750798,74;6894780,16;0;110;2;C;905;111011;752403,92;6895434,02;0;I;2024;1;Permanent horaire;21942;11,52
01/01/2024;A0004;3210;110;2;C;905;111011;752403,92;6895434,02;0;114;2;C;115;114221;754533,15;6897821,37;0;I;2024;1;Permanent horaire;23127;11,183
01/01/2024;A0004;17935;114;2;C;115;114221;754533,15;6897821,37;0;132;51;C;50;132156;769236,05;6905742,86;0;I;2024;1;Permanent horaire;23127;11,183
01/01/2024;A0004;1080;132;51;C;50;132156;769236,05;6905742,86;0;133;51;C;130;133236;770220,85;6905303,48;0;I;2024;1;Permanent horaire;11435;9,918
01/01/2024;A0004;5600;133;51;C;130;133236;770220,85;6905303,48;0;138;51;C;730;138836;773548,81;6901331,29;0;I;2024;1;Permanent horaire;30074;16,928
01/01/2024;A0004;6214;138;51;C;730;138836;773548,81;6901331,29;0;144;51;C;944;145050;779566,74;6901041,73;0;I;2024;1;Permanent horaire;28128;17,705
01/01/2024;A0004;22846;144;51;C;944;145050;779566,74;6901041,73;0;167;51;C;790;167896;794045,62;6884731,85;0;I;2024;1;Permanent horaire;40913;16,948
01/01/2024;A0004;3010;167;51;C;790;167896;794045,62;6884731,85;0;170;51;C;800;170906;796688,91;6883353,48;0;I;2024;1;Permanent horaire;27045;19,343
01/01/2024;A0004;8812;170;51;C;800;170906;796688,91;6883353,48;0;179;51;C;612;179718;805303,52;6882591,5;0;I;2024;1;Permanent horaire;17684;18,317
01/01/2024;A0004;32586;179;51;C;612;179718;805303,52;6882591,5;0;212;51;C;198;212304;836596,57;6887533,58;0;I;2024;1;Permanent horaire;17121;18,254
01/01/2024;A0004;9698;212;51;C;198;212304;836596,57;6887533,58;0;221;51;C;896;222002;845737,63;6889853,82;0;I;2024;1;Permanent horaire;17310;19,929
01/01/2024;A0004;8354;221;51;C;896;222002;845737,63;6889853,82;0;230;55;C;250;230356;853526,24;6890009,81;0;I;2024;1;Permanent horaire;17310;19,929
01/01/2024;A0004;12985;230;55;C;250;230356;853526,24;6890009,81;0;243;55;C;235;243341;866183,97;6890869,49;0;I;2024;1;Permanent horaire;17297;19,788
01/01/2024;A0004;10800;243;55;C;235;243341;866183,97;6890869,49;0;254;55;C;35;254141;876065,92;6892739,02;0;I;2024;1;Permanent horaire;16395;19,663
01/01/2024;A0004;16303;254;55;C;35;254141;876065,92;6892739,02;0;270;55;C;338;270444;890950,21;6895025,63;0;I;2024;1;Permanent horaire;17976;19,206
01/01/2024;A0004;10500;270;55;C;338;270444;890950,21;6895025,63;0;280;55;C;838;280944;900184,71;6899352,83;0;I;2024;1;Permanent horaire;17487;19,578
01/01/2024;A0004;11973;280;55;C;838;280944;900184,71;6899352,83;0;292;54;C;811;292917;911048,86;6903691,66;0;I;2024;1;Permanent horaire;17487;19,578
01/01/2024;A0004;6363;292;54;C;811;292917;911048,86;6903691,66;0;299;54;C;174;299280;917316,77;6903909,26;0;I;2024;1;Permanent horaire;18207;19,194
01/01/2024;A0004;552;299;54;C;174;299280;917316,77;6903909,26;0;299;54;C;726;299832;917682,12;6903726,32;0;I;2024;1;Permanent horaire;18207;19,194
01/01/2024;A0004;12160;299;54;C;726;299832;917682,12;6903726,32;0;311;57;C;886;311992;928029,34;6905343,85;0;I;2024;1;Permanent horaire;24731;16,767
01/01/2024;A0004;14641;328;57;C;859;328965;938588,09;6896894,76;0;343;57;C;500;343606;952702,85;6898965,3;0;I;2024;1;Permanent horaire;38485;16,351
01/01/2024;A0004;18800;343;57;C;500;343606;952702,85;6898965,3;0;362;57;C;300;362406;970909,54;6899281,92;0;I;2024;1;Permanent horaire;32628;18,414
01/01/2024;A0004;7200;362;57;C;300;362406;970909,54;6899281,92;0;369;57;C;500;369606;977743,11;6899971,68;0;I;2024;1;Permanent horaire;43071;16,88
01/01/2024;A0004;5300;369;57;C;500;369606;977743,11;6899971,68;0;374;57;C;800;374906;981432,35;6896692,34;0;I;2024;1;Permanent horaire;23245;15,112
01/01/2024;A0004;6800;374;57;C;800;374906;981432,35;6896692,34;0;381;57;C;600;381706;986330,85;6892585,29;0;I;2024;1;Permanent horaire;19283;16,3
01/01/2024;A0004;8600;381;57;C;600;381706;986330,85;6892585,29;0;390;57;C;200;390306;994165,89;6889980,17;0;I;2024;1;Permanent horaire;17458;17,489
01/01/2024;A0004;2896;390;57;C;200;390306;994165,89;6889980,17;0;393;57;C;96;393202;996842,41;6889455,24;0;I;2024;1;Permanent horaire;20976;16,623
